Name,Task,Phase,Trial,Leg,StartTime,EndTime,et_params,blink_count,average_blink_duration,max_blink_duration,average_saccadic_duration,maximum_saccadic_duration,saccadic_count,average_fixation_duration,maximum_fixation_duration,fixation_count,gaze_entropy,L_slope,L_max,L_mean,L_entropy,L_variation,R_slope,R_max,R_mean,R_entropy,R_variation
280,Training,Rotation,L 90,,2023-10-06T02:17:32Z,2023-10-06T02:17:48Z,,10.0,12.0,21.0,11.368421052631579,27.0,19.0,21.761904761904763,138.0,21.0,2.9131155828395294,1.5770823892248722e-05,4.1300811767578125,3.7933247089385986,0.4915421873552007,0.5888878107070923,2.1184226798953315e-05,3.834991455078125,3.5573291778564453,0.49097844900916043,0.7617515325546265
280,Training,Transition,,,2023-10-06T02:17:48Z,2023-10-06T02:17:53Z,,0.0,0.0,0.0,8.333333333333334,14.0,3.0,77.25,141.0,4.0,2.246003554860037,-0.0009243099155772133,4.0149688720703125,3.7284717559814453,0.2814670424405437,0.20903033018112183,-0.0009574655667086044,3.699371337890625,3.493494749069214,0.20534989004925447,0.13127750158309937
280,Training,Rotation,Returning L 90,,2023-10-06T02:17:53Z,2023-10-06T02:18:05Z,,0.0,0.0,0.0,15.0,23.0,8.0,85.0,286.0,8.0,2.637144473655435,-0.00011442670295401617,3.8106231689453125,3.578608989715576,0.4185181396861881,0.3849475383758545,-0.0001208984979703437,3.5331878662109375,3.339003324508667,0.36984128313908193,0.35767412185668945
280,Training,Transition,,,2023-10-06T02:18:05Z,2023-10-06T02:18:09Z,,0.0,0.0,0.0,12.333333333333334,27.0,6.0,32.166666666666664,69.0,6.0,2.9777474741552563,0.0017765215425017665,4.0599517822265625,3.7452378273010254,0.19180819383294878,0.09026962518692017,0.0014088633761351137,3.821136474609375,3.526731491088867,0.19475520396140908,0.10880905389785767
280,Training,Rotation,R 45,,2023-10-06T02:18:09Z,2023-10-06T02:18:19Z,,0.0,0.0,0.0,14.65,28.0,20.0,17.666666666666668,86.0,21.0,3.9255990859286163,0.00026553985890931473,4.076690673828125,3.8755600452423096,0.3832492240118464,0.3151378631591797,0.0004685183628125041,3.8954620361328125,3.6560733318328857,0.2650460650122763,0.18164533376693726
280,Training,Transition,,,2023-10-06T02:18:19Z,2023-10-06T02:18:22Z,,1.0,10.0,10.0,8.0,14.0,4.0,31.6,78.0,5.0,1.290171988648785,-0.0020105825462895734,3.953216552734375,3.5638465881347656,0.38039540664747756,0.41095060110092163,-0.0023200199524122385,3.7928314208984375,3.432847738265991,0.37488448459075874,0.362191379070282
280,Training,Rotation,Returning R 45,,2023-10-06T02:18:22Z,2023-10-06T02:18:30Z,,2.0,13.0,13.0,10.1,18.0,10.0,40.8,91.0,10.0,2.5146254973629576,0.0005058875546848918,3.9022216796875,3.605571985244751,0.4272443831156279,0.36857497692108154,0.0003669049627117939,3.58990478515625,3.4178147315979004,0.43168897418780217,0.6155328750610352
280,Training,Transition,,,2023-10-06T02:18:30Z,2023-10-06T02:18:50Z,,0.0,0.0,0.0,14.409090909090908,25.0,22.0,44.04347826086956,124.0,23.0,3.9033027251043766,7.135553708029325e-05,4.0272674560546875,3.6019585132598877,0.4759970269317192,0.5467829704284668,6.663620914527276e-05,3.7138214111328125,3.4146838188171387,0.4926519854200848,0.6119863390922546
280,Training,Movement,1,,2023-10-06T02:18:50Z,2023-10-06T02:19:06Z,,5.0,12.4,23.0,14.588235294117647,30.0,17.0,22.058823529411764,82.0,17.0,3.5114673402614685,-0.0002904493256109348,3.8796844482421875,3.258579969406128,0.3614491623593714,0.33499783277511597,-0.0004206343491577732,3.701141357421875,3.0317814350128174,0.34140653593576703,0.2806634306907654
280,Training,Transition,,,2023-10-06T02:19:06Z,2023-10-06T02:19:06Z,,,,,,,,,,,,,,,,,,,,,
280,Training,Movement,2,,2023-10-06T02:19:06Z,2023-10-06T02:19:26Z,,6.0,11.0,21.0,14.022727272727273,30.0,44.0,13.0,43.0,43.0,4.740033930002718,-0.00032162592039125613,4.0456390380859375,3.5081238746643066,0.4253488781146924,0.48188650608062744,-0.00012794154774576754,3.7123870849609375,3.3033885955810547,0.48121863958166133,0.5390444993972778
280,Training,Transition,,,2023-10-06T02:19:26Z,2023-10-06T02:19:28Z,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
280,Training,Movement,3,,2023-10-06T02:19:28Z,2023-10-06T02:19:43Z,,2.0,10.0,13.0,16.375,27.0,24.0,19.12,133.0,25.0,3.6313093523916984,0.00014949626044725097,3.562713623046875,3.0931665897369385,0.35693901748430973,0.26617497205734253,0.0002558108349620366,3.283111572265625,2.9306271076202393,0.3099028322855349,0.20934522151947021
280,Training,Transition,,,2023-10-06T02:19:43Z,2023-10-06T02:19:43Z,,,,,,,,,,,,,,,,,,,,,
280,Training,Movement,4,,2023-10-06T02:19:43Z,2023-10-06T02:19:59Z,,1.0,8.0,8.0,12.806451612903226,40.0,31.0,18.84375,64.0,32.0,4.280634796032284,-1.1556596944787391e-06,3.5355072021484375,3.2106802463531494,0.626037823184371,0.8391761779785156,-3.9566933528651944e-05,3.3459320068359375,3.069901704788208,0.6505787783736424,0.7173874974250793
280,Training,Transition,,,2023-10-06T02:19:59Z,2023-10-06T02:20:27Z,,7.0,8.142857142857142,11.0,14.017543859649123,65.0,57.0,14.543859649122806,51.0,57.0,4.68162230338537,3.190381809416519e-05,3.91558837890625,3.3204867839813232,0.627415947790713,0.8288584351539612,-3.117355319227929e-05,3.33636474609375,3.10861873626709,0.5143637614911202,0.7846977114677429
280,Training,HomingMultiLegs,T1.L1,,2023-10-06T02:20:27Z,2023-10-06T02:20:27Z,,,,,,,,,,,,,,,,,,,,,
280,Training,Transition,,,2023-10-06T02:20:27Z,2023-10-06T02:20:53Z,,2.0,12.0,14.0,13.24074074074074,46.0,54.0,16.09433962264151,72.0,53.0,4.236027268641256,-6.597009282350258e-05,3.636566162109375,3.262986421585083,0.5602521797580621,0.6542483568191528,-1.007353992843372e-05,3.498565673828125,3.0765771865844727,0.44875168850324587,0.542199969291687
280,Training,HomingMultiLegs,T1.L2,,2023-10-06T02:20:53Z,2023-10-06T02:20:53Z,,,,,,,,,,,,,,,,,,,,,
280,Training,Transition,,,2023-10-06T02:20:53Z,2023-10-06T02:21:27Z,,14.0,11.142857142857142,22.0,14.582089552238806,41.0,67.0,15.06060606060606,49.0,66.0,4.774808078755492,-1.3513080755744513e-05,4.048980712890625,3.3100521564483643,0.6271069966161553,0.645356297492981,5.4955870770235365e-06,3.949798583984375,3.168282985687256,0.5779481751883934,0.5831756591796875
280,Training,HomingMultiLegs,T1.L3,,2023-10-06T02:21:27Z,2023-10-06T02:21:27Z,,,,,,,,,,,,,,,,,,,,,
280,Training,Transition,,,2023-10-06T02:21:27Z,2023-10-06T02:22:38Z,,13.0,14.76923076923077,24.0,13.973154362416107,41.0,149.0,14.137931034482758,51.0,145.0,5.195991177357438,-1.4636537673092308e-05,4.0828857421875,3.2908756732940674,0.6586679992960517,0.8649497032165527,-7.766945382440261e-06,3.559844970703125,3.149395704269409,0.591390137050453,0.7955789566040039
280,Training,HomingMultiLegs,T2.L1,,2023-10-06T02:22:38Z,2023-10-06T02:22:38Z,,,,,,,,,,,,,,,,,,,,,
280,Training,Transition,,,2023-10-06T02:22:38Z,2023-10-06T02:22:59Z,,15.0,8.533333333333333,18.0,10.853658536585366,33.0,41.0,12.1,38.0,40.0,4.035939890213923,0.00013591872493913973,3.79449462890625,3.312021255493164,0.7019348663721048,0.7863680720329285,9.63829501855545e-05,3.5095977783203125,3.1556098461151123,0.5605035117155287,0.5513549447059631
280,Training,HomingMultiLegs,T2.L2,,2023-10-06T02:22:59Z,2023-10-06T02:22:59Z,,,,,,,,,,,,,,,,,,,,,
280,Training,Transition,,,2023-10-06T02:22:59Z,2023-10-06T02:23:27Z,,9.0,13.0,23.0,10.883720930232558,31.0,43.0,10.9,43.0,40.0,4.730611842215495,-3.045858147663861e-05,3.6174774169921875,3.3100883960723877,0.7160944310120854,0.7720423936843872,-1.3817893377728721e-05,3.5791473388671875,3.170837640762329,0.5801342350317701,0.7333806753158569
280,Training,HomingMultiLegs,T2.L3,,2023-10-06T02:23:27Z,2023-10-06T02:23:27Z,,,,,,,,,,,,,,,,,,,,,
280,Training>Path Integration,Transition,,,2023-10-06T02:23:27Z,2023-10-06T02:24:40Z,,31.0,10.483870967741936,19.0,13.551020408163266,44.0,147.0,13.246575342465754,71.0,146.0,5.039333659627441,-3.232918658583633e-07,4.0511627197265625,3.3372931480407715,0.6475313235032975,0.678855836391449,-2.1519738941011817e-06,3.49224853515625,3.12834095954895,0.5764853335956056,0.6731508374214172
280,Path Integration,,1,1,2023-10-06T02:24:40Z,2023-10-06T02:24:55Z,,14.0,13.5,24.0,10.28125,26.0,32.0,12.413793103448276,73.0,29.0,3.716296251154316,-0.00010214005611935536,3.64959716796875,3.2899529933929443,0.743656408364652,0.652316689491272,-7.553657506537225e-05,3.3834075927734375,3.127300262451172,0.47822219153733464,0.4326685667037964
280,Path Integration,Transition,,,2023-10-06T02:24:55Z,2023-10-06T02:25:17Z,,5.0,13.8,18.0,14.348837209302326,57.0,43.0,14.534883720930232,53.0,43.0,4.12243260064114,0.0001118103593027333,3.6925506591796875,3.322115421295166,0.673216262682801,0.620303213596344,0.00017231649382214067,3.42822265625,3.1840291023254395,0.4245304925235784,0.3272934556007385
280,Path Integration,,1,2,2023-10-06T02:25:17Z,2023-10-06T02:25:46Z,,9.0,12.11111111111111,19.0,13.071428571428571,52.0,56.0,13.48076923076923,55.0,52.0,4.2189558630817885,-1.73061191425289e-06,3.70556640625,3.338242292404175,0.6022210805007794,0.5888193845748901,-3.1759178116744666e-05,3.4829254150390625,3.1727213859558105,0.4371903116755961,0.5720404386520386
280,Path Integration,Transition,,,2023-10-06T02:25:46Z,2023-10-06T02:26:05Z,,7.0,10.0,14.0,14.153846153846153,28.0,39.0,15.083333333333334,50.0,36.0,4.630263269734963,0.00020964244318777826,3.6964569091796875,3.3000802993774414,0.6087187984675534,0.5875973701477051,0.0002585036172884498,3.52203369140625,3.124814510345459,0.4804153240380022,0.4389904737472534
280,Path Integration,,1,3,2023-10-06T02:26:05Z,2023-10-06T02:27:32Z,,24.0,11.083333333333334,24.0,14.488888888888889,63.0,180.0,15.112359550561798,88.0,178.0,4.612437061500331,-0.00010680308095997932,4.0294036865234375,3.2965431213378906,0.354188532034454,0.29771244525909424,-9.158934435352387e-05,3.7545318603515625,3.1028125286102295,0.32856502887045425,0.3024556636810303
280,Path Integration,Transition,,,2023-10-06T02:27:32Z,2023-10-06T02:27:46Z,,4.0,10.5,13.0,17.1,74.0,30.0,11.9,77.0,30.0,4.222561359907784,7.967000869437252e-05,3.4691925048828125,3.178229331970215,0.6190203790080148,0.6228079199790955,9.392489957579938e-05,3.253509521484375,3.0024774074554443,0.5773407291109223,0.5502848029136658
280,Path Integration,,2,1,2023-10-06T02:27:46Z,2023-10-06T02:28:06Z,,1.0,19.0,19.0,15.6,51.0,45.0,11.28888888888889,43.0,45.0,4.8687691768553405,6.574048523974605e-05,3.538299560546875,3.275303363800049,0.6580632340198515,0.7380611896514893,8.997391888609249e-05,3.32489013671875,3.085603952407837,0.5450559463846185,0.5352541208267212
280,Path Integration,Transition,,,2023-10-06T02:28:06Z,2023-10-06T02:28:23Z,,5.0,14.2,21.0,13.5,27.0,38.0,13.378378378378379,52.0,37.0,4.510776263676816,-0.00010412489063043768,3.54461669921875,3.2473952770233154,0.6447222439796623,0.6315178871154785,-8.347350975281493e-05,3.295623779296875,3.04408860206604,0.5614776154835983,0.577284038066864
280,Path Integration,,2,2,2023-10-06T02:28:23Z,2023-10-06T02:28:40Z,,6.0,10.0,14.0,12.23076923076923,29.0,39.0,14.051282051282051,52.0,39.0,3.78683082061119,1.881413513507578e-05,3.4964752197265625,3.19128155708313,0.6305243009962694,0.6240695714950562,-7.922424961937135e-06,3.281524658203125,3.0041918754577637,0.6373203871197426,0.5553470849990845
280,Path Integration,Transition,,,2023-10-06T02:28:40Z,2023-10-06T02:28:56Z,,5.0,11.6,17.0,15.068965517241379,42.0,29.0,17.551724137931036,79.0,29.0,4.531324114715133,-8.957311508940901e-05,3.5587615966796875,3.2419469356536865,0.5996877638064191,0.4249574542045593,-6.909086022241357e-05,3.239044189453125,3.0356616973876953,0.4775016783795116,0.3154919743537903
280,Path Integration,,2,3,2023-10-06T02:28:56Z,2023-10-06T02:30:13Z,,23.0,11.869565217391305,20.0,13.39873417721519,31.0,158.0,15.369426751592357,86.0,157.0,4.392734570514359,2.0873997660474604e-06,3.6443328857421875,3.2249996662139893,0.654991332560691,0.8106657266616821,8.09286521103334e-06,3.4217529296875,3.050699234008789,0.5801437374769762,0.8279482126235962
280,Path Integration,Transition,,,2023-10-06T02:30:13Z,2023-10-06T02:30:27Z,,2.0,16.0,19.0,16.76,65.0,25.0,17.208333333333332,47.0,24.0,4.250884657911255,0.00017801010868259332,3.72784423828125,3.295207977294922,0.6111636533354118,0.43618470430374146,0.000265803698054758,3.469696044921875,3.1407041549682617,0.41497958074704294,0.30458956956863403
280,Path Integration,,3,1,2023-10-06T02:30:27Z,2023-10-06T02:30:45Z,,4.0,14.75,19.0,15.552631578947368,42.0,38.0,9.305555555555555,34.0,36.0,4.106482960007388,8.054180368629688e-05,3.58074951171875,3.3287174701690674,0.688074750160645,0.5437537431716919,-1.3876082962276276e-05,3.428558349609375,3.1641340255737305,0.5005695445181345,0.4947502017021179
280,Path Integration,Transition,,,2023-10-06T02:30:45Z,2023-10-06T02:31:00Z,,5.0,8.8,14.0,16.566666666666666,41.0,30.0,9.366666666666667,34.0,30.0,4.137881233166338,5.36227907675532e-05,3.6973724365234375,3.380073070526123,0.6623169624876221,0.9193975925445557,-0.00012980098168323322,3.4397125244140625,3.2292494773864746,0.5068307735378113,0.5016006827354431
280,Path Integration,,3,2,2023-10-06T02:31:00Z,2023-10-06T02:31:24Z,,9.0,12.444444444444445,18.0,16.928571428571427,72.0,42.0,17.023809523809526,95.0,42.0,3.8280665972203574,-7.630811698016411e-05,3.5954132080078125,3.268745183944702,0.6632904290809412,0.6259353160858154,-5.921919960400184e-05,3.45086669921875,3.092158079147339,0.6030156246139294,0.59307861328125
280,Path Integration,Transition,,,2023-10-06T02:31:24Z,2023-10-06T02:31:40Z,,7.0,11.142857142857142,17.0,14.37037037037037,25.0,27.0,20.59259259259259,67.0,27.0,3.9956850223214015,0.00012957437904767972,3.77593994140625,3.3314239978790283,0.43760054034180085,0.5831025242805481,0.00017475575665254326,3.5654144287109375,3.149162530899048,0.4128344459347323,0.562009334564209
280,Path Integration,,3,3,2023-10-06T02:31:40Z,2023-10-06T02:32:15Z,,13.0,13.0,19.0,12.389830508474576,33.0,59.0,18.803571428571427,62.0,56.0,4.071647514778578,1.7713863391136652e-05,3.5223846435546875,3.2388265132904053,0.7538729133290264,0.7568538784980774,2.7738352913061717e-05,3.467987060546875,3.0952539443969727,0.594932339108804,0.674964427947998
280,Path Integration,Transition,,,2023-10-06T02:32:15Z,2023-10-06T02:32:29Z,,4.0,11.0,15.0,12.818181818181818,51.0,22.0,13.181818181818182,30.0,22.0,3.7487573396864216,-0.000255397996083435,3.5593414306640625,3.2549264430999756,0.7098216361853631,0.6649208068847656,-0.0003168752344047309,3.4101409912109375,3.0930047035217285,0.46697142661056923,0.3500325679779053
280,Path Integration,,4,1,2023-10-06T02:32:29Z,2023-10-06T02:32:42Z,,6.0,13.833333333333334,23.0,14.448275862068966,50.0,29.0,11.206896551724139,39.0,29.0,4.273407772750912,0.0002117888078164021,3.6015625,3.226299285888672,0.6278090104196312,0.45587587356567383,0.00018403341748744138,3.270294189453125,3.054410457611084,0.5056585768782569,0.4184855818748474
280,Path Integration,Transition,,,2023-10-06T02:32:42Z,2023-10-06T02:32:57Z,,5.0,10.8,16.0,12.4375,27.0,32.0,12.272727272727273,44.0,33.0,4.2903597993673905,0.00013493023312983882,3.608001708984375,3.3578264713287354,0.6117029606100541,0.8793702125549316,0.00015001511576767787,3.5332489013671875,3.1770427227020264,0.5527181347984543,0.8225666880607605
280,Path Integration,,4,2,2023-10-06T02:32:57Z,2023-10-06T02:33:21Z,,8.0,13.125,20.0,14.456521739130435,63.0,46.0,16.866666666666667,132.0,45.0,3.5313950514871184,-2.546536936492286e-06,3.6053619384765625,3.290879487991333,0.6066825404921692,0.6436273455619812,-2.5173108650012985e-05,3.355438232421875,3.1030211448669434,0.5914519566450807,0.7868762612342834
280,Path Integration,Transition,,,2023-10-06T02:33:21Z,2023-10-06T02:33:37Z,,9.0,12.11111111111111,21.0,12.357142857142858,40.0,28.0,17.653846153846153,50.0,26.0,3.4021223009531547,-0.00038272106484556494,3.823577880859375,3.3185923099517822,0.4570927060986516,0.44015049934387207,-0.00031384270260340373,3.61883544921875,3.134791374206543,0.4165006991137239,0.6627194881439209
280,Path Integration,,4,3,2023-10-06T02:33:37Z,2023-10-06T02:34:05Z,,10.0,11.7,19.0,13.942307692307692,49.0,52.0,13.46,38.0,50.0,4.645628046789268,5.5351454364597866e-05,3.5588531494140625,3.245854139328003,0.5967530909249025,0.6020101308822632,5.82191246956734e-05,3.3531341552734375,3.080894708633423,0.5408097936544205,0.705022931098938
280,Path Integration,Transition,,,2023-10-06T02:34:05Z,2023-10-06T02:34:20Z,,3.0,13.666666666666666,16.0,12.964285714285714,57.0,28.0,17.76,92.0,25.0,4.012088162507549,5.7613479755011114e-05,3.52728271484375,3.1781177520751953,0.717425892351606,0.6437129378318787,8.569390117178988e-05,3.2576751708984375,3.0022497177124023,0.6261344142135329,0.5772716999053955
280,Path Integration,,5,1,2023-10-06T02:34:20Z,2023-10-06T02:34:36Z,,5.0,12.0,18.0,14.166666666666666,37.0,30.0,16.178571428571427,90.0,28.0,4.161240582704917,0.0002791871551158673,3.5856170654296875,3.311774492263794,0.4892006024572122,0.2931011915206909,0.00026864950102048674,3.51031494140625,3.1382954120635986,0.4146249964840656,0.31939250230789185
280,Path Integration,Transition,,,2023-10-06T02:34:36Z,2023-10-06T02:34:53Z,,3.0,13.666666666666666,16.0,14.7,41.0,30.0,19.133333333333333,86.0,30.0,3.507162266237,2.30948655866195e-05,3.618682861328125,3.248288869857788,0.6461924501392446,0.6060230731964111,7.400852408578968e-06,3.3437042236328125,3.082106828689575,0.5173768848994762,0.5985473394393921
280,Path Integration,,5,2,2023-10-06T02:34:53Z,2023-10-06T02:35:16Z,,13.0,10.076923076923077,21.0,14.625,61.0,40.0,19.05263157894737,83.0,38.0,3.895698933221279,4.577809224143853e-05,3.7659912109375,3.3130452632904053,0.6012611903889727,0.5942127704620361,3.4394929030615e-05,3.5117950439453125,3.159820795059204,0.5069482540352767,0.6436384916305542
280,Path Integration,Transition,,,2023-10-06T02:35:16Z,2023-10-06T02:35:31Z,,9.0,12.444444444444445,17.0,12.666666666666666,46.0,27.0,14.518518518518519,38.0,27.0,4.155885100720039,-3.005813452694262e-05,3.4947509765625,3.2364065647125244,0.7266261840143792,0.6258673071861267,-1.833146417979858e-05,3.330902099609375,3.0964548587799072,0.5391695269819161,0.4537948966026306
280,Path Integration,,5,3,2023-10-06T02:35:31Z,2023-10-06T02:35:58Z,,9.0,12.222222222222221,19.0,11.90566037735849,27.0,53.0,19.387755102040817,162.0,49.0,4.013087674924666,-0.00013607936372846726,3.6566925048828125,3.260540723800659,0.6557141377749358,0.5661426782608032,-0.0001093677391078827,3.375,3.1029999256134033,0.4752357853125785,0.5400024652481079
280,Path Integration,Transition,,,2023-10-06T02:35:58Z,2023-10-06T02:36:12Z,,2.0,10.5,12.0,14.096774193548388,34.0,31.0,14.03448275862069,46.0,29.0,4.158601564600236,0.0002605342420131008,3.57354736328125,3.256540060043335,0.6762378572752982,0.4579063057899475,0.00021916595157862133,3.313079833984375,3.0828278064727783,0.38568057064808603,0.23965394496917725
280,Path Integration,,6,1,2023-10-06T02:36:12Z,2023-10-06T02:36:28Z,,6.0,11.833333333333334,17.0,16.333333333333332,49.0,30.0,16.103448275862068,49.0,29.0,4.0600734288574785,-0.00029536847824969224,3.786285400390625,3.292491912841797,0.5062191117239973,0.4187394380569458,-0.0002680131936679068,3.64447021484375,3.1422550678253174,0.43955928547390694,0.4134002923965454
280,Path Integration,Transition,,,2023-10-06T02:36:28Z,2023-10-06T02:36:57Z,,9.0,13.222222222222221,18.0,14.1,46.0,50.0,20.80392156862745,151.0,51.0,3.9864303094509754,0.00011092749070412938,3.75848388671875,3.278075933456421,0.48012557654218635,0.41410356760025024,9.573926988473786e-05,3.532470703125,3.107815980911255,0.44791788802466037,0.4228172302246094
280,Path Integration,,6,2,2023-10-06T02:36:57Z,2023-10-06T02:37:23Z,,8.0,14.125,20.0,11.46808510638298,51.0,47.0,21.404255319148938,95.0,47.0,3.8326108461862622,-2.663348934015214e-05,3.519989013671875,3.2275681495666504,0.6549499096476394,0.580197274684906,6.867899609321715e-06,3.3169403076171875,3.060760498046875,0.6255970329669402,0.5966355800628662
280,Path Integration,Transition,,,2023-10-06T02:37:23Z,2023-10-06T02:37:40Z,,3.0,14.666666666666666,17.0,12.46875,34.0,32.0,18.393939393939394,111.0,33.0,4.245043139936113,-6.0096138399901194e-05,3.5936126708984375,3.2776436805725098,0.6560768759347485,0.886951744556427,1.1511146217929112e-05,3.3040771484375,3.112807273864746,0.5815122787249348,0.8593733310699463
280,Path Integration,,6,3,2023-10-06T02:37:40Z,2023-10-06T02:38:34Z,,19.0,14.31578947368421,21.0,12.945652173913043,43.0,92.0,17.28235294117647,108.0,85.0,4.426367641142634,9.3995951909595e-05,3.6971893310546875,3.2922770977020264,0.4954614962558298,0.33764344453811646,9.021432477064885e-05,3.509521484375,3.1622095108032227,0.33961836220818115,0.26265931129455566
280,Path Integration,Transition,,,2023-10-06T02:38:34Z,2023-10-06T02:38:48Z,,3.0,11.666666666666666,14.0,14.392857142857142,29.0,28.0,16.666666666666668,50.0,27.0,3.7320548455768003,-0.00010247236078232496,3.60400390625,3.3170502185821533,0.6069505951782338,0.5914937257766724,-0.00014396585860790146,3.3383636474609375,3.1367459297180176,0.4285150910585734,0.42757105827331543
280,Path Integration,,7,1,2023-10-06T02:38:48Z,2023-10-06T02:39:02Z,,5.0,9.6,15.0,13.407407407407407,28.0,27.0,18.59259259259259,94.0,27.0,2.9075432308443867,-1.532182666859306e-05,3.5445556640625,3.273916244506836,0.5060401464227453,0.5466399788856506,-3.228215605560077e-05,3.28863525390625,3.0816810131073,0.5175500387079742,0.7131186723709106
280,Path Integration,Transition,,,2023-10-06T02:39:02Z,2023-10-06T02:39:18Z,,3.0,10.0,13.0,13.685714285714285,37.0,35.0,15.058823529411764,50.0,34.0,3.894608137295865,-6.138876603938885e-05,3.7204132080078125,3.3500473499298096,0.505818183082655,0.5799862146377563,-0.00010266396123964978,3.535491943359375,3.1722333431243896,0.4041351759029624,0.4994056224822998
280,Path Integration,,7,2,2023-10-06T02:39:18Z,2023-10-06T02:39:48Z,,8.0,11.75,18.0,13.56140350877193,35.0,57.0,15.614035087719298,52.0,57.0,4.815880655738746,9.710970815866285e-05,3.5700836181640625,3.2890589237213135,0.5902699184999499,0.5863406658172607,5.244603273303425e-05,3.3688201904296875,3.073392868041992,0.7443589349608103,0.6824621558189392
280,Path Integration,Transition,,,2023-10-06T02:39:48Z,2023-10-06T02:40:04Z,,2.0,14.0,14.0,10.96551724137931,27.0,29.0,23.464285714285715,85.0,28.0,2.96546996640463,-0.0002236271683154474,3.514678955078125,3.170628309249878,0.5092396879311273,0.5611470937728882,-0.0002012841862317753,3.2860565185546875,2.9861416816711426,0.4387231133382469,0.527451753616333
280,Path Integration,,7,3,2023-10-06T02:40:04Z,2023-10-06T02:40:35Z,,10.0,12.9,23.0,12.836363636363636,49.0,55.0,17.057692307692307,127.0,52.0,4.292091232689315,0.00012975499573650423,3.6607513427734375,3.2570390701293945,0.5845744321877628,0.525963306427002,0.00010263368718708557,3.4292449951171875,3.0915870666503906,0.49669324677727095,0.4865717887878418
