Name,Task,Phase,Trial,Leg,StartTime,EndTime
280,Path Integration,Transition,NA,NA,2023-10-06T02:39:48Z,2023-10-06T02:40:04Z
280,Path Integration,NA,7,3,2023-10-06T02:40:04Z,2023-10-06T02:40:35Z
280,Path Integration>Egocentric pointing,Transition,NA,NA,2023-10-06T02:40:35Z,2023-10-06T02:41:11Z
280,Egocentric pointing,NA,1,NA,2023-10-06T02:41:11Z,2023-10-06T02:42:05Z
280,Egocentric pointing,Transition,NA,NA,2023-10-06T02:42:05Z,2023-10-06T02:42:12Z
280,Egocentric pointing,NA,2,NA,2023-10-06T02:42:12Z,2023-10-06T02:42:40Z
280,Egocentric pointing,Transition,NA,NA,2023-10-06T02:42:40Z,2023-10-06T02:42:47Z
280,Egocentric pointing,NA,3,NA,2023-10-06T02:42:47Z,2023-10-06T02:43:09Z
280,Egocentric pointing,Transition,NA,NA,2023-10-06T02:43:09Z,2023-10-06T02:43:17Z
280,Egocentric pointing,NA,4,NA,2023-10-06T02:43:17Z,2023-10-06T02:43:33Z
280,Egocentric pointing>Mapping,Transition,NA,NA,2023-10-06T02:43:33Z,2023-10-06T02:44:37Z
280,Mapping,Arch,NA,NA,2023-10-06T02:44:37Z,2023-10-06T02:44:39Z
280,Mapping,Transition,NA,NA,2023-10-06T02:44:39Z,2023-10-06T02:44:42Z
280,Mapping,Tree,NA,NA,2023-10-06T02:44:42Z,2023-10-06T02:44:47Z
280,Mapping,Transition,NA,NA,2023-10-06T02:44:47Z,2023-10-06T02:44:48Z
280,Mapping,Waterfall,NA,NA,2023-10-06T02:44:48Z,2023-10-06T02:44:51Z
280,Mapping>Memory,Transition,NA,NA,2023-10-06T02:44:51Z,2023-10-06T02:45:32Z
280,Memory,Fossil,Panel,Arch,2023-10-06T02:45:32Z,2023-10-06T02:45:34Z
280,Memory,Transition,NA,NA,2023-10-06T02:45:34Z,2023-10-06T02:45:39Z
280,Memory,Fruit,Panel,Tree,2023-10-06T02:45:39Z,2023-10-06T02:45:41Z
280,Memory,Transition,NA,NA,2023-10-06T02:45:41Z,2023-10-06T02:45:42Z
280,Memory,Water,Panel,Waterfall,2023-10-06T02:45:42Z,2023-10-06T02:45:44Z
280,Memory>Perspective Taking,Transition,NA,NA,2023-10-06T02:45:44Z,2023-10-06T02:46:15Z
280,Perspective Taking,Rocket,Waterfall,Arch,2023-10-06T02:46:15Z,2023-10-06T02:46:52Z
280,Perspective Taking,Transition,NA,NA,2023-10-06T02:46:52Z,2023-10-06T02:46:57Z
